Niveau;Band;Lektion;Schritt;KB;AB;LWS;Kommunikatives;Grammatik;
A2.1;3;1;FHG;10–11;–;182–185;Folge 1: «Aller Anfang ist schwer.» – über Neuanfänge sprechen;–;
A2.1;3;1;A;12;96;182–185;Gründe nennen;Konjunktion weil;
A2.1;3;1;B;13;98;182–185;Von Alltagserlebnissen berichten;Perfekt der trennbaren Verben;
A2.1;3;1;C;14;101;182–185;Von Missgeschicken im Alltag erzählen;Perfekt der nicht-trennbaren Verben und der Verben auf -ieren;
A2.1;3;1;D;15;103;182–185;Über die Familie berichten;Namen im Genitiv (Annas Mutter), Präposition von + Dativ;
A2.1;3;1;E;16–17;104;182–185;Von Wohn- und Lebensformen erzählen;–;
A2.1;3;2;FHG;22–23;–;186–189;Folge 2: «Was man hat, das hat man.»;–;
A2.1;3;2;A;24;109;186–189;Ortsangaben machen: Wo?;Wechselpräpositionen mit Dativ, Verben stehen, liegen, hängen, stecken;
A2.1;3;2;B;25;110;186–189;Ortsangaben machen: Wohin?;Wechselpräpositionen mit Akkusativ, Verben stellen, legen, hängen;
A2.1;3;2;C;26;112;186–189;Richtungen angeben;Direktionaladverbien (hierhin, dahin, herein, herauf, herunter);
A2.1;3;2;D;27;114;186–189;Mitteilungen und Regeln im Mietshaus verstehen;–;
A2.1;3;2;E;28–29;116;186–189;Gespräche mit Nachbarn führen, um Hilfe bitten, Nachrichten schreiben;–;
A2.1;3;3;FHG;34–35;–;190–193;Folge 3: «Eine Hand wäscht die andere.» – über Kochen und gegenseitige Hilfe sprechen;–;
A2.1;3;3;A;36;122;190–193;Häufigkeitsangaben machen;Häufigkeitsadverbien (immer … nie), Zeitangaben (einmal pro Woche);
A2.1;3;3;B;37;123;190–193;Dinge im Haushalt benennen, über Gegenstände sprechen;Indefinitpronomen im Nominativ und Akkusativ (einer, eins, keine, welche);
A2.1;3;3;C;38;124;190–193;Gespräche bei einer Einladung führen, eine Radiosendung verstehen;–;
A2.1;3;3;D;39;126;190–193;Ein Interview verstehen (Firmenkantine);–;
A2.1;3;3;E;40–41;127;190–193;Im Restaurant bestellen, bezahlen, reklamieren;–;
A2.1;3;4;FHG;46–47;–;194–197;Folge 4: «Glück muss man haben!»;–;
A2.1;3;4;A;48;133;194–197;Bedingungen und Zusammenhänge ausdrücken;Konjunktion wenn;
A2.1;3;4;B;49;134;194–197;Ratschläge geben;Konjunktiv II: sollte;
A2.1;3;4;C;50;136;194–197;Mitteilungen am Arbeitsplatz verstehen;–;
A2.1;3;4;D;51;137;194–197;Telefongespräche am Arbeitsplatz führen;–;
A2.1;3;4;E;52–53;139;194–197;Einen Sachtext verstehen, über Arbeit und Freizeit sprechen;–;
A2.1;3;5;FHG;58–59;–;198–202;Folge 5: «Übung macht den Meister!»;–;
A2.1;3;5;A;60;145;198–202;Gesundheitstipps verstehen;Reflexive Verben (sich bewegen, sich ausruhen);
A2.1;3;5;B;61;147;198–202;Interesse ausdrücken;Verben mit Präpositionen (warten auf, sich verabreden mit);
A2.1;3;5;C;62;150;198–202;Nach Interessen fragen;Fragewörter und Präpositionaladverbien (Worauf? – Darauf.);
A2.1;3;5;D;63;151;198–202;Sich bei einem Verein anmelden, Informationen erfragen;–;
A2.1;3;5;E;64–65;152;198–202;Die Meinung sagen, eine Informationsbroschüre verstehen;–;
A2.1;3;6;FHG;70–71;–;203–206;Folge 6: «Von nichts kommt nichts.»;–;
A2.1;3;6;A;72;158;203–206;Über Wünsche und Pläne aus Kindheit und Jugend sprechen;Präteritum der Modalverben (musste, konnte, wollte);
A2.1;3;6;B;73;160;203–206;Die Meinung sagen;Konjunktion dass;
A2.1;3;6;C;74;162;203–206;Über das Schulsystem und die Schulzeit sprechen;–;
A2.1;3;6;D;75;164;203–206;Weiterbildungsangebote verstehen;–;
A2.1;3;6;E;76–77;165;203–206;Über den beruflichen Werdegang und den Traumberuf sprechen;–;
A2.1;3;7;FHG;82–83;–;207–209;Folge 7: «Das kannst du laut sagen.»;–;
A2.1;3;7;A;84;170;207–209;Über Geschenkideen sprechen;Dativ als Objekt (meinem Mann, meiner Nachbarin);
A2.1;3;7;B;85;171;207–209;Bitten und Empfehlungen ausdrücken;Stellung der Objekte (Dimi empfiehlt es ihm.);
A2.1;3;7;C;86;173;207–209;Kurznachrichten über eine Hochzeit verstehen, von einem Fest erzählen;–;
A2.1;3;7;D;87;175;207–209;Meinungen und Vorlieben zu Geschenken ausdrücken;Präposition von + Dativ (von meinem Arbeitskollegen);
A2.1;3;7;E;88–89;176;207–209;Ein Fest planen;–;
A2.2;4;8;FHG;10–11;–;180–182;Folge 8: «Wo er recht hat, hat er recht.»;–;
A2.2;4;8;A;12;96;180–182;Über Wünsche sprechen;Konjunktiv II: hätte, wäre;
A2.2;4;8;B;13;97;180–182;Gegensätze ausdrücken;Konjunktion trotzdem;
A2.2;4;8;C;14;98;180–182;Vorschläge machen und auf Vorschläge reagieren;Konjunktiv II: könnte, würde;
A2.2;4;8;D;15;100;180–182;Über Wochenendaktivitäten sprechen, einen Veranstaltungskalender verstehen;–;
A2.2;4;8;E;16–17;102;180–182;Veranstaltungstipps in Anzeigen und im Radio verstehen;–;
A2.2;4;9;FHG;22–23;–;183–185;Folge 9: «Schauen wir mal …»;–;
A2.2;4;9;A;24;107;183–185;Die eigene Meinung ausdrücken, Gegenstände beschreiben, Wichtigkeit ausdrücken;Adjektivdeklination nach indefinitem Artikel (Nominativ);
A2.2;4;9;B;25;108;183–185;Gegenstände beschreiben, Anzeigen verstehen und schreiben, eine Auktion machen;Adjektivdeklination nach indefinitem Artikel (Akkusativ, Dativ);
A2.2;4;9;C;26;111;183–185;Sachen und Personen vergleichen;Komparation (gross – grösser – am grössten), Vergleichspartikel als, wie;
A2.2;4;9;D;27;113;183–185;Über das eigene Kaufverhalten sprechen, eine Statistik ergänzen;–;
A2.2;4;9;E;28–29;115;183–185;Gegenstände beschreiben, einen Text über persönliche Gegenstände verstehen;Wortbildung Adjektive -los (arbeitslos);
A2.2;4;10;FHG;34–35;–;186–188;Folge 10: «Immer im letzten Moment»;–;
